date,description,amount,category,flagged
2025-03-09,Coffee Shop,491.62,Dining,False
2025-04-16,Cafe,144.76,Dining,False
2023-12-02,Books,299.79,Education,False
2023-06-02,Clothing Store,61.36,Shopping,True
2024-02-21,Monthly Rent,1660.46,Rent,True
2024-02-16,Internet Bill,196.55,Utilities,False
2024-08-29,Amazon Prime,136.18,Entertainment,True
2023-05-27,Uber,154.37,Transportation,True
2023-07-15,Walmart,194.65,Groceries,False
2024-10-24,Water Bill,335.67,Utilities,False
2024-11-29,Airline Ticket,797.49,Travel,False
2023-07-23,Internet Bill,314.2,Utilities,True
2024-07-24,Cable Bill,355.8,Utilities,True
2023-09-23,Fast Food,238.85,Dining,False
2024-12-11,Netflix,493.28,Entertainment,True
2023-08-03,Internet Bill,276.84,Utilities,True
2023-10-07,Airline Ticket,748.24,Travel,True
2024-11-11,Netflix,50.97,Entertainment,True
2023-09-14,Dentist,406.97,Healthcare,False
2023-11-08,Coffee Shop,191.21,Dining,True
2024-06-03,Conference,20.41,Education,False
2024-11-14,House Payment,998.62,Rent,True
2024-06-21,Apple Store,394.71,Shopping,True
2025-02-03,Workshop,13.47,Education,True
2023-07-20,Bar,282.43,Dining,True
2023-08-24,Monthly Rent,2201.87,Rent,True
2024-01-08,Rental Car,572.65,Travel,False
2025-01-02,Clothing Store,489.35,Shopping,True
2024-12-31,Concert,303.44,Entertainment,False
2024-08-14,Mortgage,2366.17,Rent,False
2025-03-06,Dentist,159.84,Healthcare,False
2024-02-19,Apartment Payment,2708.9,Rent,True
2023-09-11,Apartment Payment,1716.3,Rent,True
2024-05-14,Cafe,309.15,Dining,False
2023-06-25,Monthly Rent,2812.37,Rent,False
2025-04-21,Doctor Visit,82.69,Healthcare,True
2023-05-17,Clothing Store,472.47,Shopping,False
2024-02-20,Cafe,263.54,Dining,True
2023-10-13,Dining Out,168.79,Entertainment,True
2025-04-16,Public Transit,127.07,Transportation,False
2024-02-16,Books,353.9,Education,True
2023-06-08,Cable Bill,351.8,Utilities,False
2025-01-04,Water Bill,393.3,Utilities,True
2023-06-11,Local Market,101.15,Groceries,True
2024-01-12,Parking,357.63,Transportation,True
2025-01-03,Trader Joe's,106.92,Groceries,False
2025-03-25,Spotify,352.95,Entertainment,False
2024-05-04,Dentist,234.82,Healthcare,False
2023-10-14,House Payment,1242.38,Rent,False
2023-10-28,Mortgage,1860.38,Rent,True
2024-06-05,Online Course,431.43,Education,True
2023-05-23,Tuition,423.46,Education,False
2024-03-11,Dining Out,447.17,Entertainment,False
2024-04-16,Hotel,1532.32,Travel,False
2025-04-25,Bar,413.67,Dining,True
2025-04-18,House Payment,1075.21,Rent,False
2023-05-18,Dining Out,330.51,Entertainment,True
2024-08-12,Tuition,130.21,Education,False
2024-02-15,Apple Store,157.59,Shopping,True
2023-09-14,Online Course,202.06,Education,False
2024-12-10,Conference,101.69,Education,False
2025-02-28,Phone Bill,340.59,Utilities,True
2025-04-19,Electric Bill,279.36,Utilities,True
2024-02-09,Amazon Prime,106.08,Entertainment,True
2023-11-16,Water Bill,383.49,Utilities,False
2024-07-19,Target,93.17,Groceries,False
2023-08-04,Costco,170.47,Groceries,False
2025-02-24,Mortgage,2790.78,Rent,False
2025-04-16,Best Buy,388.46,Shopping,True
2024-06-06,Gas,168.02,Transportation,False
2023-07-16,Restaurant,82.25,Dining,False
2023-10-01,Gas,142.27,Transportation,False
2024-07-10,Books,151.93,Education,True
2025-01-23,Gas,333.96,Transportation,False
2025-03-12,Public Transit,470.04,Transportation,True
2024-03-03,Safeway,119.64,Groceries,True
2024-08-08,Restaurant,154.98,Dining,False
2024-03-25,House Payment,2303.04,Rent,True
2024-10-26,Conference,364.34,Education,False
2025-04-22,Public Transit,240.57,Transportation,False
2024-08-24,Lyft,86.45,Transportation,False
2024-01-21,Fast Food,45.35,Dining,True
2023-06-10,Concert,323.07,Entertainment,False
2024-03-07,Dining Out,192.36,Entertainment,False
2024-01-10,Rental Car,914.18,Travel,False
2023-12-03,Apple Store,264.73,Shopping,False
2024-01-26,Electric Bill,204.19,Utilities,False
2024-09-22,Doctor Visit,446.98,Healthcare,False
2024-12-29,Water Bill,452.44,Utilities,False
2023-07-04,Gas,367.08,Transportation,True
2024-06-14,Conference,301.15,Education,True
2023-06-24,Car Maintenance,384.4,Transportation,False
2024-03-31,Doctor Visit,429.82,Healthcare,True
2024-05-31,Doctor Visit,413.54,Healthcare,True
2023-08-11,Online Course,354.7,Education,False
2024-02-15,Amazon Prime,189.94,Entertainment,True
2023-12-16,Optometrist,6.88,Healthcare,True
2023-12-28,Bar,434.89,Dining,False
2023-11-06,Movie Tickets,112.69,Entertainment,False
2024-03-17,Hotel,285.74,Travel,True
2025-01-23,Parking,91.94,Transportation,False
2025-01-14,Conference,322.09,Education,True
2025-04-07,Concert,169.93,Entertainment,False
2023-12-28,Apple Store,61.15,Shopping,True
2025-02-23,Mortgage,2545.76,Rent,True
2023-10-31,Water Bill,279.11,Utilities,True
2024-01-28,Trader Joe's,172.28,Groceries,True
2023-11-04,Doctor Visit,102.65,Healthcare,False
2023-12-27,Bar,273.14,Dining,True
2024-08-31,Monthly Rent,2721.44,Rent,True
2023-08-09,Fast Food,314.18,Dining,False
2024-05-22,House Payment,2568.08,Rent,True
2023-07-16,Walmart,296.42,Groceries,True
2025-01-08,Gas Bill,466.97,Utilities,False
2024-12-28,Pharmacy,480.74,Healthcare,True
2024-09-22,Amazon,80.49,Shopping,False
2024-03-23,Amazon Prime,333.44,Entertainment,False
2024-02-22,Walmart,151.72,Groceries,True
2024-08-14,Mortgage,2857.22,Rent,False
2023-09-23,Kroger,249.18,Groceries,False
2024-07-19,Workshop,417.14,Education,False
2024-06-22,Safeway,134.09,Groceries,False
2024-03-20,Dentist,329.17,Healthcare,False
2024-12-17,Doctor Visit,135.75,Healthcare,False
2024-02-07,Online Course,161.5,Education,True
2023-12-17,Doctor Visit,64.5,Healthcare,False
2024-07-19,Cafe,281.73,Dining,True
2023-10-26,Books,300.89,Education,True
2024-05-28,Netflix,429.65,Entertainment,False
2025-01-25,Whole Foods,31.55,Groceries,False
2024-09-21,Rental Car,129.38,Travel,False
2023-10-06,Netflix,414.46,Entertainment,False
2023-08-26,Electronics Store,494.01,Shopping,True
2023-05-04,Car Maintenance,26.1,Transportation,True
2025-02-21,Internet Bill,112.28,Utilities,True
2024-09-17,Kroger,244.98,Groceries,True
2025-02-08,Conference,110.97,Education,True
2024-09-13,Airline Ticket,926.16,Travel,False
2023-05-06,Parking,7.8,Transportation,False
2023-05-08,Mortgage,2205.67,Rent,True
2024-05-12,Cable Bill,279.15,Utilities,False
2023-11-03,Clothing Store,68.51,Shopping,False
2023-08-01,Electric Bill,78.4,Utilities,True
2023-09-12,Dentist,366.97,Healthcare,True
2024-01-13,Optometrist,332.95,Healthcare,True
2023-11-15,Monthly Rent,1936.25,Rent,False
2025-02-16,Best Buy,91.34,Shopping,False
2023-10-20,Water Bill,334.46,Utilities,True
2024-03-11,Mortgage,2887.12,Rent,True
2024-10-06,Apple Store,179.43,Shopping,False
2024-07-02,Hotel,1250.49,Travel,True
2024-10-27,Parking,160.72,Transportation,False
2023-09-20,Movie Tickets,126.35,Entertainment,True
2024-01-29,Apple Store,295.25,Shopping,False
2023-11-20,Books,25.03,Education,False
2024-11-14,Movie Tickets,368.3,Entertainment,True
2023-10-29,Doctor Visit,387.87,Healthcare,False
2025-02-19,Airbnb,1945.73,Travel,False
2024-08-04,Concert,259.54,Entertainment,False
2025-03-07,Electronics Store,342.46,Shopping,True
2023-12-10,Tuition,109.39,Education,True
2024-06-16,Mortgage,2669.63,Rent,True
2025-04-24,Electronics Store,368.91,Shopping,True
2024-11-17,House Payment,2395.27,Rent,True
2023-05-11,Mortgage,1963.47,Rent,False
2024-12-18,Netflix,99.76,Entertainment,False
2023-12-10,Apartment Payment,2180.16,Rent,False
2023-09-11,Conference,91.04,Education,True
2023-04-30,Amazon,107.13,Shopping,True
2023-11-19,Pharmacy,184.28,Healthcare,False
2025-03-27,Hulu,324.2,Entertainment,False
2025-01-25,House Payment,2748.17,Rent,False
2025-02-06,Hotel,1919.56,Travel,True
2024-05-03,Walmart,216.93,Groceries,True
2024-01-02,Gas,303.54,Transportation,True
2024-04-10,Gas,164.45,Transportation,False
2023-09-01,Workshop,362.48,Education,True
2023-11-20,Cable Bill,471.43,Utilities,False
2024-06-13,Car Maintenance,350.48,Transportation,True
2023-09-07,Walmart,185.04,Groceries,False
2023-11-05,Vacation,1244.98,Travel,True
2024-01-01,Phone Bill,396.46,Utilities,False
2024-09-06,Doctor Visit,412.84,Healthcare,True
2024-07-11,Public Transit,447.43,Transportation,True
2024-12-01,Amazon,464.63,Shopping,True
2024-10-16,Hulu,183.89,Entertainment,True
2024-11-09,Monthly Rent,1884.15,Rent,True
2025-03-21,Restaurant,141.22,Dining,False
2024-01-10,Airbnb,554.94,Travel,True
2023-07-31,Restaurant,63.54,Dining,True
2023-08-07,Dentist,478.89,Healthcare,True
2025-02-08,Car Maintenance,323.94,Transportation,True
2024-08-06,Uber,137.11,Transportation,True
2023-11-19,Doctor Visit,388.27,Healthcare,True
2024-06-09,Hulu,87.77,Entertainment,True
2023-10-05,Amazon Prime,324.74,Entertainment,False
2023-11-21,Local Market,167.01,Groceries,True
2024-08-05,Airline Ticket,873.83,Travel,False
2024-01-20,Fast Food,331.54,Dining,True
2023-07-21,Online Course,365.0,Education,False
2024-04-28,Airbnb,1670.01,Travel,True
2023-09-13,Uber,98.57,Transportation,False
2024-12-20,Movie Tickets,27.8,Entertainment,True
2024-06-22,Hulu,323.58,Entertainment,False
2024-12-10,Water Bill,463.06,Utilities,True
2023-05-02,Insurance,181.07,Healthcare,True
2023-04-30,Amazon,104.46,Shopping,False
2023-10-07,Monthly Rent,1741.91,Rent,False
2023-07-09,Dining Out,48.42,Entertainment,False
2024-01-25,Restaurant,155.0,Dining,True
2023-07-11,Dentist,96.83,Healthcare,True
2024-11-11,Rental Car,1494.27,Travel,True
2024-08-02,Optometrist,159.52,Healthcare,False
2025-02-26,Cable Bill,247.56,Utilities,False
2025-03-29,Spotify,304.33,Entertainment,True
2025-03-04,Hotel,567.25,Travel,False
2024-11-03,Dentist,312.47,Healthcare,True
2024-09-28,Apartment Payment,838.33,Rent,True
2023-10-13,Internet Bill,181.62,Utilities,False
2024-04-24,Best Buy,432.02,Shopping,False
2023-12-31,Optometrist,469.1,Healthcare,False
2024-11-27,Dentist,317.81,Healthcare,True
2024-01-23,Cafe,164.89,Dining,True
2024-03-11,Restaurant,150.56,Dining,False
2023-11-14,Electric Bill,275.8,Utilities,True
2024-05-22,Internet Bill,488.01,Utilities,True
2025-01-16,Books,445.62,Education,True
2024-03-16,Insurance,406.66,Healthcare,False
2024-04-22,Phone Bill,420.12,Utilities,True
2025-01-26,Gas Bill,256.18,Utilities,False
2024-08-01,Pharmacy,281.29,Healthcare,True
2024-11-24,Cable Bill,226.43,Utilities,False
2023-08-13,Doctor Visit,447.69,Healthcare,True
2024-02-28,Best Buy,245.64,Shopping,False
2023-11-02,Monthly Rent,2393.59,Rent,True
2023-09-24,Fast Food,426.0,Dining,False
2024-12-03,Cafe,338.72,Dining,True
2023-09-03,Water Bill,349.05,Utilities,True
2025-04-01,Workshop,444.76,Education,True
2024-05-26,Doctor Visit,291.31,Healthcare,False
2025-04-07,Vacation,185.03,Travel,True
2025-02-05,Doctor Visit,197.24,Healthcare,True
2023-07-24,Mortgage,901.07,Rent,True
2024-03-04,Rental Car,1198.11,Travel,True
2024-09-07,Vacation,1406.87,Travel,False
2023-07-31,Car Maintenance,421.04,Transportation,True
2024-12-28,Apartment Payment,2839.4,Rent,False
2024-05-20,Tuition,62.56,Education,True
2024-02-03,Dentist,219.17,Healthcare,True
2023-11-05,Books,430.52,Education,True
2023-10-08,Airbnb,1620.69,Travel,False
2023-12-26,Hotel,1837.84,Travel,True
2024-01-13,Apple Store,296.82,Shopping,True
2024-01-24,Concert,494.57,Entertainment,False
2024-09-27,Doctor Visit,321.76,Healthcare,False
2024-08-27,Books,108.29,Education,True
2023-11-17,Parking,424.65,Transportation,True
2023-07-29,Coffee Shop,302.85,Dining,True
2025-04-12,Books,354.85,Education,False
2023-11-24,Parking,142.82,Transportation,False
2024-04-05,Insurance,98.0,Healthcare,False
2024-10-17,Coffee Shop,24.06,Dining,False
2023-06-22,Bar,465.06,Dining,True
2024-12-18,Fast Food,281.07,Dining,True
2023-12-22,Apple Store,295.75,Shopping,True
2023-10-19,Apple Store,232.81,Shopping,True
2025-01-26,Apartment Payment,2492.94,Rent,True
2023-10-06,Trader Joe's,146.61,Groceries,False
2024-12-22,Parking,121.47,Transportation,True
2023-10-26,Amazon Prime,343.58,Entertainment,False
2023-08-02,Dentist,195.98,Healthcare,False
2024-07-26,Conference,359.9,Education,False
2024-12-22,Cable Bill,335.37,Utilities,True
2024-03-12,Gas Bill,296.85,Utilities,False
2023-10-20,Gas Bill,314.73,Utilities,True
2024-09-11,Workshop,5.68,Education,True
2025-01-02,Concert,388.57,Entertainment,True
2024-03-25,Walmart,210.79,Groceries,True
2024-10-30,Conference,146.67,Education,False
2023-12-18,Electric Bill,385.05,Utilities,False
2023-06-14,Fast Food,214.87,Dining,True
2023-10-20,Gas Bill,201.87,Utilities,True
2023-05-02,Monthly Rent,2009.64,Rent,True
2024-02-03,Apple Store,374.64,Shopping,True
2024-11-06,Gas Bill,284.07,Utilities,True
2024-12-07,Vacation,478.55,Travel,False
2023-11-14,Water Bill,266.37,Utilities,True
2023-07-01,Kroger,86.09,Groceries,False
2024-04-20,Tuition,151.58,Education,False
2025-02-10,Bar,385.76,Dining,False
2024-01-10,Gas Bill,202.18,Utilities,False
2024-03-16,Airline Ticket,283.16,Travel,True
2024-06-19,Pharmacy,114.72,Healthcare,True
2023-08-21,Online Course,132.69,Education,False
2023-12-04,Monthly Rent,2348.98,Rent,True
2023-08-16,Optometrist,147.32,Healthcare,True
2025-03-09,Rental Car,1327.98,Travel,True
2024-12-21,Online Course,355.44,Education,True
2024-04-17,Water Bill,326.84,Utilities,False
2025-03-21,Tuition,438.1,Education,True
2023-09-05,House Payment,1014.71,Rent,False
2025-04-24,Uber,307.46,Transportation,True
2023-11-22,Doctor Visit,434.07,Healthcare,False
2024-08-28,Whole Foods,256.42,Groceries,False
2025-03-18,Electronics Store,231.84,Shopping,True
2024-02-09,Cable Bill,394.46,Utilities,True
2024-05-16,Optometrist,450.55,Healthcare,False
2025-01-18,Concert,100.24,Entertainment,False
2024-08-15,Hotel,755.59,Travel,False
2024-04-03,Workshop,34.55,Education,True
2023-08-24,Insurance,316.84,Healthcare,False
2024-07-24,Gas Bill,126.99,Utilities,True
2024-11-22,Apple Store,124.21,Shopping,False
2025-04-01,Netflix,82.31,Entertainment,True
2023-06-22,Monthly Rent,1933.87,Rent,True
2023-09-01,Conference,157.09,Education,True
2023-06-04,Apple Store,480.14,Shopping,True
2024-05-20,Movie Tickets,110.34,Entertainment,False
2024-04-28,Mortgage,1853.78,Rent,True
2023-12-22,Clothing Store,370.34,Shopping,True
2024-05-07,Vacation,1464.87,Travel,False
2023-05-22,Rental Car,830.04,Travel,True
2025-02-03,Monthly Rent,2335.19,Rent,False
2024-04-25,Fast Food,292.29,Dining,True
2024-01-08,Electric Bill,415.99,Utilities,False
2023-08-15,Tuition,317.33,Education,True
2023-11-09,Movie Tickets,258.63,Entertainment,True
2024-04-26,Fast Food,475.69,Dining,True
2024-06-29,Walmart,164.21,Groceries,False
2024-04-02,Cafe,399.64,Dining,True
2024-07-15,Lyft,144.51,Transportation,True
2025-01-14,Movie Tickets,283.87,Entertainment,True
2023-10-28,Gas Bill,171.26,Utilities,False
2025-04-07,Monthly Rent,1507.44,Rent,True
2023-12-17,Movie Tickets,274.67,Entertainment,True
2024-02-27,Apple Store,262.15,Shopping,False
2023-12-24,Car Maintenance,207.45,Transportation,True
2023-08-19,Hulu,422.27,Entertainment,True
2023-09-12,Restaurant,247.06,Dining,False
2024-02-28,Uber,153.48,Transportation,False
2024-09-16,Online Course,55.19,Education,False
2024-09-26,Online Course,329.17,Education,False
2023-07-09,Vacation,1063.83,Travel,True
2023-06-19,Workshop,335.15,Education,True
2023-05-02,Workshop,379.57,Education,True
2024-07-03,Apartment Payment,917.91,Rent,False
2024-12-04,Coffee Shop,481.55,Dining,False
2023-06-09,Amazon,179.66,Shopping,False
2024-05-15,Cable Bill,445.16,Utilities,False
2024-01-25,Conference,273.42,Education,True
2024-12-17,Pharmacy,294.51,Healthcare,False
2024-05-21,Workshop,336.24,Education,False
2024-01-14,Tuition,475.21,Education,False
2024-03-26,Restaurant,359.47,Dining,False
2024-10-23,Phone Bill,80.76,Utilities,False
2024-04-28,Dentist,387.47,Healthcare,False
2023-06-18,Movie Tickets,25.01,Entertainment,False
2023-11-25,Concert,102.02,Entertainment,False
2024-08-31,Walmart,124.15,Groceries,True
2024-10-24,Concert,253.46,Entertainment,True
2024-03-19,Books,9.89,Education,False
2023-07-19,Apple Store,222.91,Shopping,False
2023-06-20,Trader Joe's,182.28,Groceries,True
2023-12-19,Books,98.75,Education,True
2024-06-23,Pharmacy,294.87,Healthcare,True
2023-12-09,Internet Bill,307.02,Utilities,True
2023-10-14,Electronics Store,154.13,Shopping,True
2023-12-20,Online Course,433.03,Education,False
2023-09-02,Dentist,8.63,Healthcare,False
2023-09-22,Doctor Visit,132.07,Healthcare,False
2024-03-14,Netflix,247.24,Entertainment,True
2023-07-21,Gas Bill,159.98,Utilities,False
2025-01-26,Car Maintenance,281.15,Transportation,True
2023-06-26,Apple Store,44.77,Shopping,False
2023-07-11,Rental Car,435.53,Travel,False
2023-05-31,Online Course,213.64,Education,True
2023-06-03,Bar,16.38,Dining,False
2025-04-17,Fast Food,123.96,Dining,True
2024-10-27,Mortgage,1368.4,Rent,False
2023-07-07,Movie Tickets,224.95,Entertainment,True
2023-11-16,Dining Out,165.42,Entertainment,True
2024-12-14,Water Bill,497.77,Utilities,True
2023-10-16,Fast Food,109.66,Dining,False
2023-09-30,Conference,83.67,Education,True
2024-04-04,Books,40.19,Education,False
2023-06-16,Gas Bill,472.42,Utilities,False
2025-02-20,Airline Ticket,758.55,Travel,False
2023-06-05,Cafe,475.58,Dining,False
2024-04-18,Parking,277.75,Transportation,False
2025-04-21,Dining Out,148.38,Entertainment,False
2024-11-26,Electric Bill,131.67,Utilities,True
2023-07-29,Car Maintenance,477.88,Transportation,False
2024-05-06,House Payment,2043.09,Rent,False
2023-10-24,Clothing Store,428.77,Shopping,False
2024-04-21,Monthly Rent,1731.87,Rent,False
2025-03-08,Lyft,391.36,Transportation,True
2024-10-12,Kroger,264.49,Groceries,False
2024-07-31,Concert,251.12,Entertainment,False
2024-04-13,Rental Car,1339.57,Travel,True
2024-06-19,Public Transit,420.52,Transportation,True
2024-08-20,Electronics Store,448.77,Shopping,True
2024-12-08,Apartment Payment,948.53,Rent,True
2024-04-04,Lyft,302.53,Transportation,False
2024-11-26,Tuition,283.01,Education,True
2024-03-11,Doctor Visit,38.66,Healthcare,True
2024-12-13,Gas Bill,314.94,Utilities,True
2024-05-06,Coffee Shop,407.85,Dining,True
2024-10-24,Fast Food,305.63,Dining,False
2024-01-20,Apartment Payment,1595.33,Rent,True
2024-08-01,Workshop,487.57,Education,False
2024-05-14,Movie Tickets,274.06,Entertainment,False
2024-02-10,Water Bill,141.34,Utilities,True
2025-01-14,Hulu,16.16,Entertainment,False
2024-11-26,Movie Tickets,93.45,Entertainment,True
2025-01-25,Fast Food,135.13,Dining,False
2024-08-03,Optometrist,440.8,Healthcare,True
2024-10-23,House Payment,1699.39,Rent,True
2023-12-19,Hotel,181.7,Travel,False
2024-11-06,Books,261.41,Education,True
2024-07-31,Monthly Rent,2100.6,Rent,False
2024-12-25,Insurance,20.94,Healthcare,False
2024-08-08,Bar,235.52,Dining,True
2023-12-26,Insurance,69.87,Healthcare,True
2023-12-13,Restaurant,214.28,Dining,True
2023-07-06,Restaurant,378.48,Dining,True
2025-04-05,Mortgage,2756.01,Rent,False
2024-06-15,Apartment Payment,1115.46,Rent,False
2024-07-11,Airline Ticket,1310.65,Travel,True
2024-03-27,Restaurant,483.97,Dining,True
2024-11-02,Cafe,331.9,Dining,False
2023-05-21,Monthly Rent,825.75,Rent,True
2024-12-30,Online Course,251.97,Education,False
2025-04-17,Tuition,454.36,Education,True
2025-03-06,Hulu,259.35,Entertainment,True
2023-05-21,Books,369.95,Education,True
2024-07-04,Hotel,1037.48,Travel,True
2025-01-16,Movie Tickets,453.86,Entertainment,True
2024-01-23,Electronics Store,10.43,Shopping,False
2023-08-12,Best Buy,238.24,Shopping,True
2024-06-24,Electric Bill,371.61,Utilities,False
2024-10-14,Internet Bill,199.95,Utilities,True
2025-02-12,Vacation,1518.72,Travel,True
2025-02-19,Amazon,436.54,Shopping,True
2023-12-05,Trader Joe's,115.28,Groceries,True
2025-04-22,Internet Bill,334.61,Utilities,False
2024-12-07,Fast Food,350.25,Dining,True
2025-02-27,Electric Bill,342.27,Utilities,False
2023-10-19,Best Buy,50.37,Shopping,True
2024-09-11,Spotify,180.23,Entertainment,False
2024-09-22,Rental Car,521.45,Travel,True
2025-01-01,Hotel,419.19,Travel,False
2024-11-19,Vacation,969.91,Travel,True
2025-03-22,House Payment,2008.36,Rent,False
2024-09-15,Coffee Shop,131.57,Dining,False
2023-07-21,Bar,435.58,Dining,False
2024-01-23,Movie Tickets,225.77,Entertainment,False
2024-11-09,Public Transit,47.73,Transportation,False
2023-10-27,Amazon,300.04,Shopping,True
2023-09-08,Dining Out,73.89,Entertainment,True
2024-07-12,Dentist,179.69,Healthcare,True
2023-09-03,Pharmacy,151.07,Healthcare,False
2023-08-25,Safeway,267.63,Groceries,False
2024-09-15,Movie Tickets,191.76,Entertainment,True
2023-12-21,Best Buy,337.33,Shopping,False
2025-03-28,Cable Bill,218.12,Utilities,True
2024-01-08,Cafe,133.16,Dining,True
2024-03-25,Best Buy,249.17,Shopping,False
2023-11-17,Spotify,125.64,Entertainment,False
2024-03-31,Safeway,266.64,Groceries,False
2023-05-15,Conference,251.15,Education,False
2024-09-29,Amazon Prime,449.93,Entertainment,False
2024-05-11,Water Bill,96.24,Utilities,True
2024-09-07,Vacation,1876.56,Travel,True
2024-02-11,Pharmacy,335.77,Healthcare,True
2024-08-19,Electronics Store,74.68,Shopping,True
2025-02-01,Doctor Visit,145.88,Healthcare,True
2024-03-05,Pharmacy,482.92,Healthcare,True
2023-07-23,House Payment,2834.1,Rent,True
2023-07-03,Apartment Payment,2638.26,Rent,True
2023-09-30,Amazon Prime,190.58,Entertainment,False
2023-12-10,Netflix,260.45,Entertainment,False
2024-02-06,Insurance,77.15,Healthcare,False
2024-11-22,Costco,169.61,Groceries,False
2024-06-20,Online Course,131.13,Education,False
2023-12-17,Cafe,152.99,Dining,False
2023-05-21,Restaurant,81.46,Dining,False
2024-05-09,Gas Bill,202.86,Utilities,True
2024-10-15,Best Buy,325.82,Shopping,False
2024-08-07,Whole Foods,56.8,Groceries,True
2024-11-01,Mortgage,839.41,Rent,True
2024-11-10,Costco,106.73,Groceries,True
2024-03-16,Gas,27.97,Transportation,True
2023-07-28,Books,340.2,Education,False
2024-12-11,Electronics Store,178.62,Shopping,False
2023-05-02,Hulu,38.09,Entertainment,True
2024-09-01,Electronics Store,221.44,Shopping,True
2024-10-01,Best Buy,249.72,Shopping,True
2025-03-23,Amazon,216.51,Shopping,True
2023-10-19,Apple Store,101.22,Shopping,True
2024-08-05,Target,289.94,Groceries,False
2024-03-19,Conference,440.94,Education,True
2023-04-30,Dentist,321.94,Healthcare,False
2024-08-24,Concert,155.18,Entertainment,True
2024-06-04,Hotel,1271.97,Travel,True
2024-02-02,Gas,297.87,Transportation,True
2023-04-30,Apartment Payment,2047.49,Rent,False
2023-05-05,Restaurant,290.6,Dining,False
2025-04-15,Online Course,302.95,Education,False
2025-01-18,Workshop,31.98,Education,False
2023-12-18,Best Buy,475.29,Shopping,True
2023-12-08,Bar,55.89,Dining,True
2023-12-27,Best Buy,438.14,Shopping,False
2023-09-20,House Payment,2662.68,Rent,False
2024-02-03,Best Buy,299.13,Shopping,True
2023-11-02,Conference,425.14,Education,False
2023-09-19,Apartment Payment,1140.47,Rent,True
2025-01-02,Walmart,209.27,Groceries,True
2025-01-27,Conference,267.57,Education,False
2023-10-27,Books,335.06,Education,False
2024-09-08,Restaurant,477.6,Dining,True
2025-01-25,Parking,32.72,Transportation,True
2024-02-23,Best Buy,62.0,Shopping,False
2023-09-09,Doctor Visit,476.1,Healthcare,False
2023-06-09,Trader Joe's,84.35,Groceries,True
2025-02-11,Public Transit,365.16,Transportation,False
2025-03-28,Gas,425.74,Transportation,True
2024-10-26,House Payment,1402.9,Rent,True
2023-07-16,Gas,492.09,Transportation,False
2024-04-02,Public Transit,138.01,Transportation,True
2024-02-18,Apartment Payment,1011.83,Rent,True
2024-11-21,Lyft,216.97,Transportation,True
2024-03-17,Internet Bill,206.92,Utilities,True
2024-01-05,Airline Ticket,1194.51,Travel,False
2024-01-24,Mortgage,1917.23,Rent,True
2023-11-20,Electronics Store,313.83,Shopping,False
2024-04-13,Best Buy,304.6,Shopping,True
2024-04-29,Uber,406.16,Transportation,True
2024-03-09,Internet Bill,414.8,Utilities,False
2024-01-20,Vacation,825.79,Travel,True
2024-12-16,Electric Bill,370.47,Utilities,False
2023-12-16,Optometrist,161.11,Healthcare,False
2023-09-04,Netflix,17.5,Entertainment,True
2023-11-02,Electric Bill,402.68,Utilities,True
2023-06-11,Airbnb,336.39,Travel,True
2024-01-21,Pharmacy,303.36,Healthcare,False
2024-04-30,Rental Car,1018.01,Travel,True
2025-01-16,Books,125.4,Education,True
2023-12-02,Costco,197.28,Groceries,False
2023-10-30,Monthly Rent,2730.62,Rent,False
2023-11-15,Public Transit,215.29,Transportation,False
2024-05-14,Apple Store,104.45,Shopping,False
2025-04-03,Trader Joe's,216.38,Groceries,True
2023-08-04,Conference,352.63,Education,True
2023-09-02,Gas Bill,189.68,Utilities,False
2023-11-25,Restaurant,359.1,Dining,True
2024-03-27,Books,419.23,Education,False
2023-08-19,Apple Store,312.86,Shopping,False
2024-02-22,Apple Store,347.61,Shopping,False
2024-12-22,Movie Tickets,11.48,Entertainment,False
2023-05-15,Bar,17.56,Dining,True
2025-04-14,Best Buy,330.9,Shopping,False
2023-12-03,Cable Bill,424.32,Utilities,True
2024-08-04,Vacation,1613.45,Travel,True
2024-10-21,Whole Foods,20.96,Groceries,True
2024-10-09,Whole Foods,40.91,Groceries,False
2025-01-11,Dentist,184.98,Healthcare,True
2025-01-03,Car Maintenance,79.36,Transportation,False
2024-07-11,Hulu,30.08,Entertainment,True
2025-02-24,House Payment,1174.6,Rent,False
2024-04-26,Restaurant,329.05,Dining,False
2025-01-28,Walmart,140.84,Groceries,True
2024-10-04,Apple Store,490.08,Shopping,False
2025-01-20,Pharmacy,465.43,Healthcare,True
2025-04-16,Airline Ticket,877.76,Travel,False
2023-06-20,Rental Car,957.38,Travel,False
2023-11-28,Apple Store,406.37,Shopping,False
2024-01-13,Bar,403.09,Dining,False
2024-03-03,Water Bill,63.14,Utilities,True
2025-03-30,Whole Foods,228.8,Groceries,True
2024-06-13,Bar,384.89,Dining,True
2025-03-22,Electronics Store,65.58,Shopping,True
2024-06-08,Internet Bill,96.52,Utilities,True
2025-02-16,Optometrist,188.16,Healthcare,False
2024-03-17,Whole Foods,266.66,Groceries,True
2024-09-23,Gas,442.64,Transportation,False
2024-01-20,Pharmacy,265.47,Healthcare,True
2024-05-18,Pharmacy,156.46,Healthcare,True
2024-06-16,House Payment,877.05,Rent,False
2025-03-27,Parking,162.77,Transportation,True
